12 	STRANGE Oliver 	2003 	Salle Paul Phoenix 	121007 	33687 	20023 	4 	13664 	2 							169 	900 															43 	6160 					23 	7504 											8 	8155 			6 	3138 													24 	3846 	5 	4884 																			3 	2789 								
13 	HURST Jake 	2002 	Fencers Club London 	133916 	32950 	8720 	2 	24230 	4 	135 	1450 					186 	800 					51 	3568 					51 	3568 			22 	9430 							1 	4000 									19 	4676 															68 	6200 	18 	4044 	20 	2654 							90 	4600 									167 	950 							186 	800 		
14 	JONES Maxwell 	2004 	Fencers Club London 	135276 	29847 	20175 	4 	9672 	2 									11 	3984 			53 	3536 	68 	2504 			29 	6088 			82 	2910 					50 	3584 											6 	8386 			5 	3191 											161 	1 	17 	4080 	11 	3725 													170 	900 			150 	1100 							202 	700 		
15 	CULKIN Alexander 	2004 	Fencers Club London 	125542 	29018 	14898 	3 	14120 	3 							230 	1 					59 	3432 									103 	1150 																	7 	8260 			13 	2384 											148 	1100 	21 	3936 	18 	2702 	14 	3608 							7 	7080 									9 	1799 								
16 	MASCIOLI Alberto 	2003 	ZFW Fencing Club 	129091 	28994 	11840 	2 	17154 	4 							151 	1050 					45 	4888 									137 	260 					39 	5016 					3 	575 					17 	4760 			17 	1781 							151 	1050 					7 	7080 	17 	2726 							111 	3400 					103 	3850 			159 	1000 							169 	900 		
17 	PERRIN Camille 	1993 	Salle Boston 	133716 	23358 	19894 	5 	3464 	1 									5 	4582 			57 	3464 	123 	1 	58 	1 	121 	768 			118 	990 																	10 	6580 																	27 	3768 	25 	2554 											2 	2410 							6 	2264 								
18 	FLOREA Luca 	2008 	Fencers Club London 	132748 	23326 	12262 	3 	11064 	3 	181 	850 							10 	4018 			70 	2480 					30 	6056 			165 	190 					66 	2528 											28 	4368 	1 	280 	19 	1750 													23 	3876 	31 	2454 					3 	1284 																						
19 	JAMES Alexander 	2008 	Fencers Club London 	132845 	22074 	19858 	5 	2216 	1 									3 	5008 									145 	1 									93 	2216 											23 	4522 			9 	2494 													15 	5364 	30 	2470 											10 	1316 																
20 	CREES Ashley 	2008 	Salle Paul Phoenix 	130712 	21849 	18959 	4 	2890 	1 																							84 	2890 																	3 	10332 			26 	1655 													10 	5640 													9 	1332 																
21 	KELLY David 	2007 	Salle Holyrood 	137084 	21658 	15448 	3 	6210 	1 									16 	3380 													41 	6210 																	17 	4760 																	5 	7308 																														
22 	BURN Joshua 	1995 	Fencers Club London 	106467 	20036 	14734 	4 	5302 	2 									14 	3427 					117 	800 	46 	2432 	140 	200 			85 	2870 																	34 	2814 			15 	2342 									35 	2394 			25 	3822 	8 	4671 									61 	2016 									8 	2201 								
23 	CHAUDHARI Aarav 	2006 	Allez Fencing 	126833 	18699 	12509 	3 	6190 	1 									7 	4460 													42 	6190 																	13 	6370 			24 	1679 																																												
24 	LEE Christopher 	2004 	Fencers Club London 	157896 	18673 	7961 	2 	10712 	4 																			96 	2184 			140 	250 					83 	2320 											30 	4312 													30 	3696 					13 	3649 	27 	2512 									6 	1677 							24 	1211 								
25 	MOLLARD Christopher 	1990 	Salle Boston 	102598 	18317 	18317 	6 	0 	0 									36 	1990 									107 	888 			136 	280 																	9 	6664 											167 	950 					32 	3654 	47 	1463 											3 	2066 							19 	1262 							1 	2480
26 	WILSON Samuel 	2000 	Salle Boston 	112733 	17194 	17194 	6 	0 	0 									21 	2970 																															43 	2625 			7 	3091 													28 	3744 	26 	2534 											7 	1652 							7 	2230 	1 	1120 					9 	1180
27 	ROBINSON Aiden 	2008 	Salle Paul Phoenix 	137266 	16890 	16890 	6 	0 	0 									17 	3045 													140 	250 																	14 	6314 			25 	1668 													35 	2394 	23 	2590 											27 	879 																
28 	KEEN Finn 	2007 	Fencers Club London 	130375 	16791 	12441 	5 	4350 	1 									8 	4413 													56 	4350 																					16 	2323 													33 	2430 	35 	1599 																			16 	1676 								
29 	JONES Alexander 	1999 	ZFW Fencing Club 	101015 	16514 	16514 	6 	0 	0 									44 	1918 																															44 	2611 			41 	998 													9 	5712 	16 	3556 																			13 	1719 								
30 	JURAS Danielius 	2006 	Allez Fencing 	136728 	16007 	16007 	4 	0 	0 									2 	5477 																															36 	2765 			2 	4511 																																			2 	3254 								
31 	WALTON Thomas 	2005 	Salle Holyrood 	123869 	15541 	12351 	2 	3190 	2 																																									12 	6433 															145 	1150 			3 	5918 									59 	2040 																		
32 	LI Yuhan 	2005 	University of Manchester Fencing Club 	159980 	15034 	15034 	3 	0 	0 									3 	5008 																															16 	6209 																			9 	3817 																												
33 	JAMES Thomas 	2003 	ZFW Fencing Club 	141435 	14349 	14349 	6 	0 	0 			1 	380 					12 	3953 	3 	464 													3 	1456 									3 	575 					32 	4263 			49 	945 															28 	2502 											18 	943 							22 	1230 								
34 	WILLIAMS Nicholas 	2003 	Nottingham Cavaliers 	123677 	14216 	14216 	6 	0 	0 									25 	2435 									123 	760 					1 	1820 															34 	2814 			22 	1705 													38 	2334 	19 	2678 											5 	1705 							13 	1719 							2 	2135
35 	ANSARI Ayaan 	2004 	The Lansdowne Fencing Club 	131087 	13617 	13617 	5 	0 	0 									9 	4056 																															20 	4634 																	34 	2412 																					15 	1689 	3 	826 						
36 	PLASTOW Luca 	2001 	Salle Boston 	114601 	13600 	13600 	6 	0 	0 									12 	3953 	2 	507 																													39 	2702 																	31 	3672 	41 	1527 																			21 	1239 								
37 	DAKIN Ethan 	2007 	Fencers Club London 	127224 	13126 	13126 	6 	0 	0 									18 	3023 													149 	220 																	27 	4396 			39 	1011 			1 	520 									37 	2352 	63 	1331 					8 	1013 																						
38 	BARRASS Sam 	2007 	Salle Holyrood 	129546 	12589 	8873 	4 	3716 	2 									6 	4516 									97 	976 			95 	2740 																	37 	2744 																	48 	1 	34 	1612 																												
39 	BLAIR Samuel 	2002 	Sheffield Buccaneers Fencing Club 	120579 	12199 	12199 	4 	0 	0 																																									49 	2527 																	16 	5322 	22 	2610 					1 	1740 																						
40 	BROUGHTON WILF 	2003 		123387 	11894 	11894 	3 	0 	0 																																									22 	4557 																	29 	3720 	14 	3617 																												
41 	HAVARD James 	2007 	Salle Holyrood 	132419 	11757 	11557 	4 	200 	1 									19 	3004 													159 	200 																	25 	4459 																	30 	3696 					3 	398 																								
42 	CAMPION Ed 	2000 	Fencers Club London 	143083 	10945 	10945 	6 	0 	0 									24 	2920 																															59 	2380 			35 	1045 													47 	1 	32 	2442 																			26 	1194 	2 	964 						
43 	GRASS Andrew 	1998 	Charteris Sport Fencing 	160552 	10870 	10870 	4 	0 	0 																																			1 	780 					24 	4487 			3 	3867 																																			12 	1736 								
44 	ARCHER Mihkel 	2006 	ZFW Fencing Club 	127873 	10198 	7388 	2 	2810 	1 									43 	1928 													90 	2810 																																			13 	5460 																														
45 	LIM Alex 	1986 	Salle Boston 	131069 	10164 	10164 	3 	0 	0 																																																													15 	3584 											1 	2800 							1 	3780 								
46 	DRUMMOND-MURRAY Euan 	2008 	Salle Holyrood 	133990 	10095 	10095 	6 	0 	0 									25 	2435 																															46 	2576 																	41 	2286 	40 	1535 			2 	464 	12 	799 																						
47 	BELBOUAB Mohammed 	2009 	ZFW Fencing Club 	136452 	9726 	8526 	1 	1200 	1 																							99 	1200 																	5 	8526 																																																
48 	BLAIR Joseph 	2004 	University of Nottingham 	120112 	9716 	9716 	3 	0 	0 																																									15 	6258 																			21 	2630 					9 	828 																						
49 	AL-MOHSIN ALI 	2004 	Fencers Club London 	130027 	9696 	9696 	6 	0 	0 									37 	1981 															12 	1149 															79 	749 			30 	1613 													36 	2370 	51 	1427 																			31 	1156 								
50 	WAGDI Yaqub 	2008 	Salle Paul Phoenix 	134468 	9557 	9557 	3 	0 	0 									15 	3402 																																			14 	2363 													26 	3792 																														
51 	ROBBINS Charlie 	2004 	Bristol Blades Fencing Club 	121066 	9248 	9248 	6 	0 	0 																																									53 	2464 			28 	1634 															24 	2570 					17 	591 															10 	526 					7 	1463
52 	DAVIES Jack 	1999 	Allez Fencing 	107400 	9214 	9214 	6 	0 	0 									47 	1896 			115 	816 																											47 	2555 			33 	1061 													45 	1 	55 	1395 																			28 	1179 							13 	1128
53 	ELLIKER Daniel 	1990 	Salle Boston 	95955 	8994 	8994 	6 	0 	0 									33 	2021 																															50 	2506 																			65 	517 											20 	926 							26 	1194 							3 	1830
54 	JURAS Dominik 	2011 	Allez Fencing 	139693 	8948 	8948 	4 	0 	0 									28 	2394 																															38 	2723 			18 	1765 																											3 	2066 																
55 	PRITCHETT Jon 	1996 	Salle Boston 	132985 	8661 	8661 	6 	0 	0 									48 	1887 															7 	1296 															45 	2590 																			71 	477 					16 	771 					17 	952 							34 	759 	7 	660 					10 	1165
56 	WEBB Benjamin 	2000 	Birmingham Fencing Club 	112387 	8562 	8562 	6 	0 	0 									38 	1971 															10 	1168 							1 	820 							84 	700 			31 	1603 															42 	1515 															3 	649 					9 	533 					6 	1485
57 	ATTIAS Ben 	2000 	Unattached 	116842 	8500 	8500 	4 	0 	0 									34 	2012 																															33 	2835 																	40 	2298 	60 	1355 																												
58 	BERTRAND Raphael 	2010 	Salle Boston 	139829 	8335 	8335 	5 	0 	0 																																									58 	2394 			36 	1034 													42 	2268 	62 	1339 											11 	1300 																
59 	HOLDEN Sam 	2005 	Salle Holyrood 	138164 	8078 	8078 	5 	0 	0 									40 	1953 																															50 	2506 			40 	1003 															57 	1375 											16 	1241 																
60 	CLOKE Samuel 	2009 	Kenilworth Sword Fencing Club 	142523 	7926 	7926 	6 	0 	0 									31 	2360 															8 	1283 															71 	833 			45 	969 															48 	1455 					7 	1026 									2 	757 					8 	652 						
61 	ABRAHAMS Matthew 	2000 	ZFW Fencing Club 	108527 	7778 	7778 	3 	0 	0 																																									31 	4284 			21 	1718 																																			10 	1776 								
62 	SHEPHERD Benjamin 	1996 	Huntingdonshire Fencing Club 	104322 	7439 	7439 	6 	0 	0 									35 	2003 															2 	1592 																			32 	1595 					5 	377 																													35 	754 							14 	1118
63 	DI FRANCESCO Hugo 	1996 	ZFW Fencing Club 	103001 	7413 	7413 	5 	0 	0 									27 	2410 	3 	464 																																	11 	2433 																											19 	935 							29 	1171 								
64 	RANCE Joseph 	2003 	Allez Fencing 	124619 	7263 	7263 	3 	0 	0 									29 	2381 																																			8 	3052 																																											3 	1830
65 	KWAN Eizen 	2010 	Fencers Club London 	162375 	7036 	7036 	3 	0 	0 									20 	2986 																															41 	2667 																			56 	1383 																												
66 	CONROY Stephen 	1990 	Nottingham Cavaliers 	94717 	6490 	6490 	6 	0 	0 									54 	1377 															5 	1332 															73 	812 			34 	1053 															90 	1 					10 	817 													39 	729 							16 	1099
67 	GRAY Harry 	2002 	Brighton & Hove Fencing Club 	118176 	6375 	6375 	4 	0 	0 									22 	2951 	1 	580 																																																	33 	1624 																			23 	1220 								
68 	KERR Joseph 	1994 	Cocks Moors Woods Fencing Club 	119946 	6278 	6278 	6 	0 	0 									60 	1336 															20 	868 							6 	591 							63 	2324 																			85 	392 															12 	404 					19 	374 					32 	755
69 	QIN George 	2010 	Fencers Club London 	141282 	6039 	6039 	5 	0 	0 									45 	1912 																															67 	875 			23 	1692 													51 	1 	38 	1559 																												
70 	MUSTAPHA Muhil 	1998 	Saxon Fencing Club 	142313 	5964 	5964 	6 	0 	0 									86 	1 															9 	1179 													2 	275 					27 	1645 					8 	361 									83 	405 			9 	257 	22 	566 					36 	553 							33 	765 	6 	670 					12 	1139
71 	FOREY-MILLER Jacob 	2000 	Oxford University Fencing Club 	116870 	5759 	5759 	6 	0 	0 																																									86 	679 																	44 	1 	58 	1371 					3 	1284 													18 	1273 							11 	1151
72 	SADIQ Hussain 	1994 	Academy Zorro Club 	51100 	5557 	5557 	4 	0 	0 																																													44 	977 													39 	2316 	66 	509 																			11 	1755 								
73 	GERLACH-WOOD Robin 	1999 	Bristol Blades Fencing Club 	105161 	5432 	5432 	6 	0 	0 									53 	1383 															19 	873 																									3 	457 									75 	449 																					3 	826 					8 	1444
74 	OSTACCHINI Glen 	1993 	Salle Boston 	49260 	5412 	5412 	1 	0 	0 																																																											14 	5412 																														
75 	ALISON Ben 	1999 	University Of Kent 	131726 	5058 	5058 	6 	0 	0 			5 	278 					56 	1361 	6 	418 																													74 	798 			56 	1 															61 	1347 											31 	856 																
76 	MEAD Edward 	2009 	Salle Kiss Fencing Club 	139505 	5037 	5037 	4 	0 	0 																																									62 	2338 																			36 	1583 					19 	581 									5 	535 												
77 	AFSETH Oscar 	2008 	Bristol Blades Fencing Club 	154452 	5002 	5002 	6 	0 	0 									67 	985 															6 	1313 															72 	819 			38 	1019 					3 	457 									82 	409 																												
78 	GRANT Lachlan 	2004 	St Andrews University Fencing Club 	153753 	4965 	4965 	3 	0 	0 																																									26 	4424 																	49 	1 					1 	540 																								
79 	O'DONNELL Arthur 	2011 	ZFW Fencing Club 	147636 	4933 	4933 	2 	0 	0 																																									56 	2415 																			27 	2518 																												
80 	SMITH Alfie 	2003 	Northampton Fencing Club 	136850 	4771 	4771 	4 	0 	0 									46 	1903 															3 	1456 																																	45 	1 	53 	1411 																												
81 	GRIFFITHS Violet 	2007 	Ashton Tameside Fencing Club 	162053 	4658 	4658 	6 	0 	0 					3 	464 			42 	1937 															22 	858 							14 	448 							95 	602 																									34 	349 									23 	1 												
82 	PICTON TULLY Oskar 	2010 	Salle Paul Phoenix 	136993 	4619 	4619 	5 	0 	0 			2 	332 					57 	1355 																															89 	651 																			52 	1419 											30 	862 																
83 	LAW Ron 	2010 	ZFW Fencing Club 	154334 	4475 	4475 	5 	0 	0 					5 	424 																			14 	996 													3 	236 	55 	2436 							3 	383 																																								
84 	PEARCE Martin 	2003 	Unattached 	145492 	4345 	4344 	2 	1 	1 									41 	1943 													185 	1 																	57 	2401 																																																
85 	BARWELL PETER 	1991 	ZFW Fencing Club 	48430 	4340 	4340 	1 	0 	0 																																									29 	4340 																																																
86 	EVANS Callum 	2006 	University of Nottingham 	127569 	4272 	4272 	5 	0 	0 					1 	580 																											3 	656 															2 	447 											39 	1547 					6 	1042 																						
87 	MO Ethan 	2011 	ZFW Fencing Club 	161813 	4267 	4267 	3 	0 	0 																																									85 	686 																	43 	2250 	63 	1331 																												
88 	LI Ethan 	2010 	Salle Boston 	137326 	4183 	4183 	3 	0 	0 																																									65 	903 			12 	2407 																											28 	873 																
89 	CARR Ben 	2001 	Fencers Club London 	123949 	4086 	2455 	2 	1631 	2 															139 	1 					15 	1630 																																							37 	1571 											26 	884 																
90 	FAROOQ Shoaib 	2009 	Barnsley Fencing Club 	159024 	4050 	4050 	6 	0 	0 					3 	464 																			11 	1158 															101 	1 			48 	951 															76 	445 															6 	527 					14 	505 						
91 	MIRANDA Mario 	2000 	Imperial College Union F.C 	160420 	4019 	4019 	4 	0 	0 			7 	270 																																					61 	2352 																															24 	897 									15 	500 						
92 	ELSWORTH Jack 	2003 	Allez Fencing 	123995 	4008 	4008 	1 	0 	0 																																																											19 	4008 																														
93 	ZHAO rui 	2006 	Salle Paul Phoenix 	131292 	3972 	3972 	1 	0 	0 																																																											20 	3972 																														
94 	SEFTON Zachary 	2002 	Durham Phoenix 	129257 	3879 	3879 	6 	0 	0 									76 	939 															26 	704 							11 	521 							102 	1 			57 	1 			5 	316 																	24 	557 									3 	649 					13 	509 						
95 	PICTON TULLY Harri 	2006 	Salle Boston 	136723 	3828 	3828 	3 	0 	0 									30 	2369 																															88 	658 																																															23 	801
96 	FEASTER John 	1997 	Hereford Fencing Centre 	93140 	3782 	3782 	2 	0 	0 									32 	2347 																																																			50 	1435 																												
97 	HUI Adrian 	2003 	ZFW Fencing Club 	138969 	3716 	3716 	6 	0 	0 																																									82 	714 			52 	1 					6 	371 									86 	388 					18 	586 					22 	911 							36 	746 								
98 	PRUTICA Tudor 	2010 	Salle Paul Phoenix 	143174 	3708 	3708 	4 	0 	0 																																									99 	1 			20 	1734 															53 	1411 											34 	562 																
99 	MOONEY Nathan 	2007 	Harrogate Fencing Club 	129281 	3526 	3526 	5 	0 	0 									68 	979 															21 	863 							5 	600 																																	13 	791 									19 	293 												
100 	BRADBURY Magnus 	2009 	Club Escrime Winchester 	143658 	3523 	3523 	2 	0 	0 																																									48 	2541 			43 	982 																																												
101 	PHILLIPS-LANGLEY Thomas 	1998 	West Lancs Fencing Club 	102771 	3508 	3508 	5 	0 	0 									51 	1395 															23 	853 							9 	531 															6 	311 																											9 	418 												
102 	MITTELHOLZER Jarred 	1991 	Hereford Fencing Centre 	96127 	3419 	3419 	6 	0 	0 									77 	935 	10 	372 													25 	707 																	3 	206 							9 	295 																					23 	904 																
103 	O'BRIEN Eoin 	2004 	University Of York Fencing Club 	134897 	3397 	3397 	5 	0 	0 					7 	413 																											10 	526 																											46 	1475 					21 	570 									10 	413 												
104 	PRINCE thomas 	2001 	Cardiff Academy of Fencing 	131097 	3231 	3231 	5 	0 	0 					2 	507 			39 	1962 																																	2 	241 																													39 	1 									11 	520 						
105 	ESTRUCH Thomas 	2000 	Salle Boston 	118318 	3198 	3198 	6 	0 	0 									66 	989 															31 	686 									16 	345 			10 	150 					37 	1027 																											40 	1 																
106 	POWELL Matt 	1986 	Birmingham Fencing Club 	48822 	3186 	3186 	4 	0 	0 									50 	1402 															27 	700 							2 	717 																																																	21 	367 						
107 	PAGE James 	1999 	Fencers Club London 	105571 	2935 	2935 	1 	0 	0 									23 	2935 																																																																																
108 	STIRLING Henry 	2007 	ZFW Fencing Club 	131770 	2871 	2681 	1 	190 	1 																							167 	190 																	40 	2681 																																																
109 	KMIOTEK Adrian 	2001 	Cocks Moors Woods Fencing Club 	117923 	2861 	2861 	5 	0 	0 									60 	1336 																															76 	777 																			98 	1 															13 	400 					29 	347 						
110 	ADESANYA Moyo 	2009 	Fighting Fit Fencing Club 	149313 	2774 	2774 	3 	0 	0 																																			10 	366 					75 	784 			29 	1624 																																												
111 	DEANS Ben 	2009 	Chichester Fencing Club 	135883 	2735 	2735 	3 	0 	0 																																									69 	854 			42 	990 																											25 	891 																
112 	CUMMING Max 	2004 	Edinburgh University Fencing Club 	154729 	2662 	2662 	6 	0 	0 					6 	418 																					14 	186 													82 	714 							3 	383 															17 	183 																							27 	778
113 	CHAN JEREMY 	2011 	Fencers Club London 	148418 	2646 	2646 	1 	0 	0 																																									42 	2646 																																																
114 	STIRLING Charles 	2012 	Fencers Club London 	143937 	2478 	2478 	1 	0 	0 																																									52 	2478 																																																
115 	GUILD William 	1995 	Academy Zorro Club 	107755 	2470 	2470 	4 	0 	0 																																			7 	460 									54 	1 																											13 	1274 							38 	735 								
116 	THOMPSON Edward 	2007 	Fencers Club London 	133224 	2464 	2464 	1 	0 	0 																																									53 	2464 																																																
117 	PORTER Kyran 	2004 	Fencers Club London 	126824 	2451 	2451 	3 	0 	0 																																																											53 	1 													12 	1286 							30 	1164 								
118 	NGAI Lucas 	2011 	Cobham Fencing Club 	147445 	2366 	2366 	1 	0 	0 																																									60 	2366 																																																
119 	BROUGHTON Archie 	2001 	Louth Fencing Club 	120142 	2310 	2310 	2 	0 	0 																																																																			5 	1059 													20 	1251 								
119 	HO Silas 	2009 	ZFW Fencing Club 	143824 	2310 	2310 	1 	0 	0 																																									64 	2310 																																																
121 	SHARIF Tengku Amran 	2004 	ZFW Fencing Club 	154071 	2302 	2302 	1 	0 	0 																																																																																	5 	2302 								
122 	AL-MOHSIN Ammar 	2012 	Fencers Club London 	142686 	2212 	2212 	2 	0 	0 									62 	1327 															17 	885 																																																																
123 	CURTHEW-SANDERS Alex 	2001 	Watford Fencing Club 	146535 	2131 	2131 	4 	0 	0 																																			17 	265 																																					35 	558 									12 	514 					24 	794
123 	GEORGET-ROUKLINE Sasha 	2006 	Fencers Club London 	136566 	2131 	2129 	2 	2 	2 													144 	1 									192 	1 																																																	21 	918 							24 	1211 								
125 	LEE Caspian 	2008 	Fencers Club London 	133942 	2119 	2119 	2 	0 	0 									58 	1349 																															77 	770 																																																
126 	HUANGFU Haoran 	2006 	University of Manchester Fencing Club 	163203 	2090 	2090 	2 	0 	0 																																																																									14 	1262 															19 	828
127 	GREEN Daniel 	2005 	Wirral Fencing Club 	151579 	2021 	2021 	6 	0 	0 					8 	408 																											15 	445 					9 	152 									8 	302 																	44 	324 									16 	390 												
128 	STAHL Matthew 	2008 	Sarum Swords 	131836 	1968 	1968 	4 	0 	0 									74 	948 	5 	424 																													96 	595 			53 	1 																																												
129 	ROSE James 	1996 	Oxford University Fencing Club 	99932 	1967 	1967 	2 	0 	0 																																																													72 	469 					2 	1498 																						
130 	HART Graeme 	1981 	Salle Holyrood 	93468 	1966 	1966 	3 	0 	0 																																									70 	840 																							7 	318 	11 	808 																						
131 	CHRISTIANSON Elliot 	2002 	University of Liverpool Fencing Club 	117878 	1882 	1882 	2 	0 	0 																																																													59 	1363 															7 	519 												
132 	MISHIMA Izumu 	2000 	Cambridgeshire Fencing Club 	118686 	1856 	1856 	5 	0 	0 																																									108 	1 																			93 	1 					20 	575 															16 	496 					26 	783
133 	KOCAN Hugh 	1997 	Gwent Sword Club 	108405 	1818 	1818 	3 	0 	0 									65 	995 																							3 	656 									6 	167 																																														
134 	BODEN George 	1996 	Cardiff Academy of Fencing 	130115 	1808 	1808 	5 	0 	0 									85 	1 															15 	989 							13 	452 																	7 	365 									96 	1 																												
135 	WEBB Andrew 	1968 	Cocks Moors Woods Fencing Club 	111916 	1799 	1799 	5 	0 	0 																									30 	688 							16 	442 																											106 	1 															20 	291 					18 	377 						
136 	DYK Nikodem 	2011 	ZFW Fencing Club 	147737 	1798 	1798 	4 	0 	0 									55 	1367 																															112 	1 																			79 	429 																											40 	1
